H:C,O:C
1.65,0.125
1.92307692308,0.384615384615
1.94736842105,0.131578947368
1.65217391304,0.173913043478
1.91891891892,0.162162162162
1.94871794872,0.179487179487
2.1,0.2
2.05555555556,0.388888888889
2.0,0.25
1.68181818182,0.0909090909091
1.59574468085,0.170212765957
2.09090909091,0.363636363636
2.04545454545,0.363636363636
2.0,0.363636363636
1.81818181818,0.363636363636
1.86363636364,0.363636363636
1.86363636364,0.363636363636
2.0,0.363636363636
2.04166666667,0.333333333333
1.875,0.333333333333
1.83333333333,0.333333333333
1.79166666667,0.208333333333
2.0,0.125
2.0,1.0
2.0,0.666666666667
2.0,0.5
2.0,0.4
2.0,0.333333333333
2.0,0.285714285714
2.0,0.25
2.0,0.222222222222
2.0,0.2
2.0,0.181818181818
2.0,0.166666666667
2.0,0.153846153846
2.0,0.142857142857
2.0,0.133333333333
2.0,0.117647058824
2.0,0.111111111111
2.0,0.105263157895
2.0,0.1
2.0,0.0952380952381
2.0,0.0909090909091
2.0,0.0869565217391
2.0,0.0833333333333
2.0,0.08
2.0,0.0769230769231
2.0,0.0740740740741
2.0,0.0714285714286
2.0,0.0689655172414
2.0,0.0666666666667
2.0,0.0645161290323
2.0,0.0625
2.0,0.0606060606061
2.0,0.0588235294118
2.0,0.0571428571429
2.0,0.0555555555556
2.0,0.0540540540541
2.0,0.0526315789474
2.0,0.0434782608696
1.75,0.166666666667
1.78571428571,0.142857142857
1.8,0.133333333333
1.8125,0.125
1.83333333333,0.111111111111
1.82352941176,0.117647058824
1.85,0.1
1.86363636364,0.0909090909091
1.875,0.0833333333333
1.88461538462,0.0769230769231
2.0,0.142857142857
1.89473684211,0.105263157895
2.0,0.222222222222
2.0,0.222222222222
2.0,0.166666666667
2.0,0.153846153846
2.0,0.153846153846
2.0,0.142857142857
2.0,0.133333333333
2.0,0.133333333333
2.0,0.125
2.0,0.117647058824
2.0,0.117647058824
2.0,0.111111111111
2.0,0.111111111111
2.0,0.105263157895
2.0,0.105263157895
2.0,0.1
2.0,0.0952380952381
2.0,0.0909090909091
2.0,0.0869565217391
2.0,0.0833333333333
2.0,0.0769230769231
2.0,0.08
2.0,0.0769230769231
2.0,0.0740740740741
2.0,0.0714285714286
2.0,0.0645161290323
2.0,0.0645161290323
1.6,0.4
1.6,0.4
1.66666666667,0.333333333333
1.92592592593,0.0740740740741
2.0,0.0952380952381
2.0,0.153846153846
2.0,0.142857142857
2.0,0.142857142857
2.0,0.133333333333
2.0,0.125
2.0,0.125
2.0,0.117647058824
2.0,0.117647058824
2.0,0.111111111111
2.0,0.111111111111
2.0,0.111111111111
2.0,0.111111111111
2.0,0.111111111111
2.0,0.105263157895
2.0,0.1
2.0,0.1
2.0,0.1
2.0,0.1
2.0,0.1
2.0,0.166666666667
2.0,0.166666666667
2.0,0.166666666667
2.0,0.166666666667
2.0,0.166666666667
2.0,0.166666666667
2.0,0.166666666667
2.0,0.153846153846
2.0,0.153846153846
2.0,0.153846153846
2.0,0.153846153846
2.0,0.153846153846
2.0,0.153846153846
2.0,0.153846153846
2.0,0.153846153846
2.0,0.142857142857
2.0,0.142857142857
2.0,0.5
2.0,0.4
2.0,0.4
2.0,0.333333333333
2.0,0.333333333333
2.0,0.333333333333
2.0,0.333333333333
2.0,0.333333333333
2.0,0.333333333333
2.0,0.285714285714
2.0,0.285714285714
2.0,0.285714285714
2.0,0.285714285714
2.0,0.285714285714
2.0,0.285714285714
2.0,0.285714285714
2.0,0.25
2.0,0.222222222222
2.0,0.2
2.0,0.181818181818
2.0,0.133333333333
2.0,0.117647058824
2.0,0.111111111111
2.0,0.111111111111
2.0,0.105263157895
2.0,0.105263157895
1.6,0.4
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.75,0.25
1.77777777778,0.222222222222
1.8,0.2
1.8,0.2
1.83333333333,0.166666666667
1.84615384615,0.153846153846
1.85714285714,0.142857142857
1.86666666667,0.133333333333
1.6,0.4
1.6,0.4
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.75,0.25
1.75,0.25
1.75,0.25
1.77777777778,0.222222222222
1.8,0.2
1.8,0.2
1.81818181818,0.181818181818
1.81818181818,0.181818181818
1.85714285714,0.142857142857
1.875,0.125
1.90909090909,0.0909090909091
1.90476190476,0.0952380952381
1.90476190476,0.0952380952381
1.89473684211,0.105263157895
1.89473684211,0.105263157895
1.875,0.125
1.875,0.125
1.875,0.125
1.84615384615,0.153846153846
2.0,0.285714285714
2.0,0.285714285714
2.0,0.285714285714
2.0,0.25
2.0,0.25
2.0,0.25
2.0,0.25
2.0,0.25
2.0,0.222222222222
2.0,0.222222222222
2.0,0.2
2.0,0.181818181818
2.0,0.166666666667
2.0,0.153846153846
2.0,0.142857142857
2.0,0.142857142857
2.0,0.142857142857
2.0,0.142857142857
2.0,0.133333333333
2.0,0.133333333333
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.125
2.0,0.111111111111
2.0,0.105263157895
2.0,0.105263157895
2.0,0.4
2.0,0.181818181818
2.0,0.181818181818
2.0,0.181818181818
2.0,0.181818181818
2.0,0.181818181818
2.0,0.181818181818
2.0,0.181818181818
2.0,0.142857142857
2.0,0.142857142857
2.0,0.142857142857
2.0,0.125
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
2.0,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
2.0,0.111111111111
1.88888888889,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.66666666667,0.111111111111
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.105263157895
2.0,0.1
1.7,0.1
1.6,0.1
2.0,0.0952380952381
1.80952380952,0.0952380952381
1.80952380952,0.0952380952381
1.80952380952,0.0952380952381
2.0,0.0909090909091
2.0,0.0909090909091
2.0,0.0833333333333
2.0,0.0869565217391
2.0,0.0833333333333
2.0,0.0833333333333
1.84,0.08
2.0,0.0666666666667
2.0,0.25
2.0,0.222222222222
2.0,0.222222222222
2.0,0.222222222222
2.0,0.2
2.0,0.2
2.0,0.133333333333
2.0,0.125
1.81818181818,0.0909090909091
1.72727272727,0.0909090909091
1.72727272727,0.0909090909091
1.92592592593,0.0740740740741
2.0,0.181818181818
2.0,0.153846153846
1.89473684211,0.105263157895
1.92592592593,0.0740740740741
2.0,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
2.0,0.222222222222
2.0,0.142857142857
2.0,0.0526315789474
1.6,0.6
1.66666666667,0.5
1.66666666667,0.5
1.6,0.8
1.66666666667,0.666666666667
1.625,0.1875
1.66666666667,0.5
2.0,0.117647058824
2.0,0.25
2.0,0.142857142857
2.0,0.181818181818
2.0,0.125
1.45454545455,0.181818181818
2.0,0.25
2.0,0.111111111111
2.0,0.0833333333333
2.0,0.08
2.0,0.0769230769231
2.0,0.0645161290323
2.0,0.0606060606061
2.0,0.0588235294118
2.0,0.0555555555556
2.0,0.0540540540541
2.0,0.0512820512821
2.0,0.05
2.0,0.047619047619
2.0,0.046511627907
2.0,0.0444444444444
2.0,0.0434782608696
2.0,0.0416666666667
2.0,0.0833333333333
2.0,0.08
2.0,0.0769230769231
2.0,0.0740740740741
2.0,0.0714285714286
2.0,0.0689655172414
2.0,0.0666666666667
2.0,0.0645161290323
2.0,0.0625
2.0,0.0606060606061
2.0,0.0588235294118
2.0,0.0571428571429
2.0,0.0967741935484
2.0,0.0909090909091
2.0,0.0882352941176
2.0,0.0833333333333
2.0,0.0810810810811
2.0,0.0769230769231
2.0,0.075
2.0,0.0714285714286
2.0,0.0697674418605
2.0,0.0666666666667
2.0,0.0652173913043
2.0,0.0625
2.0,0.125
2.0,0.115384615385
2.0,0.111111111111
2.0,0.107142857143
1.92,0.08
1.92592592593,0.0740740740741
1.92857142857,0.0714285714286
1.93103448276,0.0689655172414
1.89473684211,0.105263157895
1.67567567568,0.0540540540541
2.0,0.1
2.0,0.0769230769231
2.0,0.222222222222
2.0,0.181818181818
2.0,0.153846153846
2.0,0.133333333333
2.0,0.08
2.0,0.08
2.0,0.0769230769231
2.0,0.0769230769231
2.0,0.0769230769231
2.0,0.125
2.0,0.0952380952381
1.84615384615,0.0769230769231
1.84615384615,0.0769230769231
1.85185185185,0.0740740740741
1.85185185185,0.0740740740741
1.85714285714,0.0714285714286
1.85714285714,0.0714285714286
1.85185185185,0.0740740740741
1.85714285714,0.0714285714286
1.86206896552,0.0689655172414
1.86666666667,0.0666666666667
1.6,0.1
1.52941176471,0.117647058824
1.77777777778,0.111111111111
1.57894736842,0.105263157895
1.36842105263,0.105263157895
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.86206896552,0.0689655172414
1.86666666667,0.0666666666667
1.77777777778,0.111111111111
1.78947368421,0.105263157895
1.78947368421,0.105263157895
1.6,0.1
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.89473684211,0.105263157895
1.89473684211,0.105263157895
2.0,0.142857142857
2.0,0.133333333333
2.0,0.117647058824
2.0,0.25
1.75,0.25
1.14285714286,0.857142857143
1.33333333333,0.666666666667
2.16666666667,0.333333333333
1.6,0.1
1.88888888889,0.111111111111
1.2,0.1
1.5,0.5
1.6,0.4
1.6,0.4
1.6,0.4
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.66666666667,0.333333333333
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.71428571429,0.285714285714
1.75,0.25
1.75,0.25
1.75,0.25
1.75,0.25
1.75,0.25
1.75,0.25
1.75,0.25
1.75,0.25
1.75,0.25
1.77777777778,0.222222222222
1.77777777778,0.222222222222
1.77777777778,0.222222222222
1.8,0.2
1.8,0.2
1.8,0.2
1.8,0.2
1.8,0.2
1.81818181818,0.181818181818
1.81818181818,0.181818181818
1.81818181818,0.181818181818
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.84615384615,0.153846153846
1.84615384615,0.153846153846
1.84615384615,0.153846153846
1.85714285714,0.142857142857
1.85714285714,0.142857142857
1.85714285714,0.142857142857
1.85714285714,0.142857142857
1.86666666667,0.133333333333
1.86666666667,0.133333333333
1.875,0.125
1.875,0.125
1.875,0.125
1.875,0.125
1.875,0.125
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.9,0.1
1.89473684211,0.105263157895
1.9,0.1
1.9,0.1
1.9,0.1
1.9,0.1
1.90909090909,0.0909090909091
1.90909090909,0.0909090909091
1.90909090909,0.0909090909091
1.91304347826,0.0869565217391
1.91666666667,0.0833333333333
1.91666666667,0.0833333333333
1.92307692308,0.0769230769231
1.92307692308,0.0769230769231
1.92857142857,0.0714285714286
1.93333333333,0.0666666666667
1.9375,0.0625
1.2,0.4
1.33333333333,0.333333333333
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.75,0.125
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.78947368421,0.105263157895
1.8,0.1
1.81818181818,0.0909090909091
1.81818181818,0.0909090909091
1.84615384615,0.0769230769231
1.625,0.125
1.625,0.125
1.625,0.125
1.625,0.125
1.625,0.125
1.625,0.125
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.7,0.1
1.7,0.1
1.7,0.1
1.72727272727,0.0909090909091
1.72727272727,0.0909090909091
1.5,0.125
1.5,0.125
1.5,0.125
1.5,0.125
1.55555555556,0.111111111111
1.55555555556,0.111111111111
1.55555555556,0.111111111111
1.55555555556,0.111111111111
1.6,0.1
1.6,0.1
1.6,0.1
1.63636363636,0.0909090909091
1.63636363636,0.0909090909091
1.63636363636,0.0909090909091
1.5,0.1
1.54545454545,0.0909090909091
1.54545454545,0.0909090909091
1.54545454545,0.0909090909091
1.45454545455,0.0909090909091
1.5,0.0833333333333
1.6,0.2
1.66666666667,0.166666666667
1.71428571429,0.142857142857
1.33333333333,0.666666666667
1.5,0.5
1.5,0.5
1.8,0.2
1.8,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.6,0.2
1.4,0.2
1.4,0.2
1.81818181818,0.181818181818
1.81818181818,0.181818181818
1.81818181818,0.181818181818
1.81818181818,0.181818181818
1.81818181818,0.181818181818
1.63636363636,0.181818181818
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.83333333333,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.66666666667,0.166666666667
1.33333333333,0.166666666667
1.33333333333,0.166666666667
1.33333333333,0.166666666667
1.16666666667,0.166666666667
1.69230769231,0.153846153846
1.69230769231,0.153846153846
1.85714285714,0.142857142857
1.85714285714,0.142857142857
1.85714285714,0.142857142857
1.85714285714,0.142857142857
1.85714285714,0.142857142857
1.71428571429,0.142857142857
1.71428571429,0.142857142857
1.71428571429,0.142857142857
1.71428571429,0.142857142857
1.71428571429,0.142857142857
1.71428571429,0.142857142857
1.71428571429,0.142857142857
1.28571428571,0.142857142857
1.86666666667,0.133333333333
1.875,0.125
1.875,0.125
1.875,0.125
1.875,0.125
1.875,0.125
1.875,0.125
1.875,0.125
1.875,0.125
1.75,0.125
1.75,0.125
1.75,0.125
1.75,0.125
1.75,0.125
1.75,0.125
1.75,0.125
1.75,0.125
1.5,0.125
1.5,0.125
1.5,0.125
1.5,0.125
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88235294118,0.117647058824
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.88888888889,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.77777777778,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.66666666667,0.111111111111
1.55555555556,0.111111111111
1.55555555556,0.111111111111
1.55555555556,0.111111111111
1.55555555556,0.111111111111
1.55555555556,0.111111111111
1.44444444444,0.111111111111
1.44444444444,0.111111111111
1.89473684211,0.105263157895
1.89473684211,0.105263157895
1.89473684211,0.105263157895
1.89473684211,0.105263157895
1.78947368421,0.105263157895
1.9,0.1
1.9,0.1
1.9,0.1
1.9,0.1
1.9,0.1
1.9,0.1
1.9,0.1
1.8,0.1
1.8,0.1
1.8,0.1
1.8,0.1
1.8,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.7,0.1
1.6,0.1
1.6,0.1
1.6,0.1
1.6,0.1
1.6,0.1
1.6,0.1
1.6,0.1
1.5,0.1
1.5,0.1
1.90476190476,0.0952380952381
1.80952380952,0.0952380952381
1.90909090909,0.0909090909091
1.90909090909,0.0909090909091
1.90909090909,0.0909090909091
1.90909090909,0.0909090909091
1.90909090909,0.0909090909091
1.81818181818,0.0909090909091
1.81818181818,0.0909090909091
1.72727272727,0.0909090909091
1.72727272727,0.0909090909091
1.72727272727,0.0909090909091
1.72727272727,0.0909090909091
1.72727272727,0.0909090909091
1.91304347826,0.0869565217391
1.91304347826,0.0869565217391
1.91304347826,0.0869565217391
1.91304347826,0.0869565217391
1.91304347826,0.0869565217391
1.83333333333,0.0833333333333
1.92,0.08
1.92,0.08
1.92,0.08
1.92,0.08
1.92307692308,0.0769230769231
1.92307692308,0.0769230769231
1.84615384615,0.0769230769231
1.84615384615,0.0769230769231
1.76923076923,0.0769230769231
1.76923076923,0.0769230769231
1.76923076923,0.0769230769231
1.76923076923,0.0769230769231
1.92592592593,0.0740740740741
1.92857142857,0.0714285714286
1.92857142857,0.0714285714286
1.92857142857,0.0714285714286
1.6,0.2
1.5,0.25
1.5,0.25
1.77777777778,0.222222222222
1.77777777778,0.222222222222
